time	distance_tree45000	distance_tree90000	distance_tree135000	distance_tree180000	distance_tree225000	distance_tree270000	distance_tree315000	distance_tree360000	distance_tree405000	distance_tree450000	distance_tree495000	distance_tree540000	distance_tree585000	distance_tree630000	distance_tree675000	distance_tree720000	distance_tree765000	distance_tree810000	distance_tree855000	distance_tree900000	distance_tree945000	distance_tree990000	distance_tree1035000	distance_tree1080000	distance_tree1125000	distance_tree1170000	distance_tree1215000	distance_tree1260000	distance_tree1305000	distance_tree1350000	distance_tree1395000	distance_tree1440000	distance_tree1485000	distance_tree1530000	distance_tree1575000	distance_tree1620000	distance_tree1665000	distance_tree1710000	distance_tree1755000	distance_tree1800000	distance_tree1845000	distance_tree1890000	distance_tree1935000	distance_tree1980000	distance_tree2025000	distance_tree2070000	distance_tree2115000	distance_tree2160000	distance_tree2205000	distance_tree2250000	distance_tree2295000	distance_tree2340000	distance_tree2385000	distance_tree2430000	distance_tree2475000	distance_tree2520000	distance_tree2565000	distance_tree2610000	distance_tree2655000	distance_tree2700000	distance_tree2745000	distance_tree2790000	distance_tree2835000	distance_tree2880000	distance_tree2925000	distance_tree2970000	distance_tree3015000	distance_tree3060000	distance_tree3105000	distance_tree3150000	distance_tree3195000	distance_tree3240000	distance_tree3285000	distance_tree3330000	distance_tree3375000	distance_tree3420000	distance_tree3465000	distance_tree3510000	distance_tree3555000	distance_tree3600000	distance_tree3645000	distance_tree3690000	distance_tree3735000	distance_tree3780000	distance_tree3825000	distance_tree3870000	distance_tree3915000	distance_tree3960000	distance_tree4005000	distance_tree4050000	distance_tree4095000	distance_tree4140000	distance_tree4185000	distance_tree4230000	distance_tree4275000	distance_tree4320000	distance_tree4365000	distance_tree4410000	distance_tree4455000	distance_tree4500000
1947.56213374452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1948.32516994132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.2790374227986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1949.08820613812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.5501090115939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1949.85124233492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.8131968779221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1950.61427853173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49.0682831078274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1951.37731472853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61.3153497621038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1952.14035092533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73.5543788774582	0	8.38259724824597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.06375281990223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1952.90338712213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85.7853524653605	0	23.9461042410351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.7635734465904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1953.66642331893	0	7.55491473555952	0	0	0	0	0	0	0	0	0	0	3.45416641931786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98.0082525124917	0	39.5270915641422	0	0	0	0	0	0	0	10.8658880854117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.4623670274033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1954.42945951573	0	15.8747092976252	0	0	0	0	0	0	0	0	0	0	13.6538811199319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110.223060980689	0	55.1255114621815	0	0	0	0	0	0	0	22.8070771135587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.1601312527971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
